Date,ALL,AMZN,ADBE,AAP,AKAM,ADS,APH,AAPL,XRAY,GOOG,AES,AGN,COST,T,A,CAH,ABT,AFL,AIG,AMAT,ADM,BBY,CCL,DVN,MMM,MO,COF,AIV,KMX,AEE,ACN,APTV,CPRI,ARNC
4/23/2018,0.027,0.03,0.107,0.043,0.053,0.031,0.102,0.118,0.028,0.099,0.043,0.002,0.074,0.036,0.069,0.036,0.026,0.019,0.003,0.153,0.024,0.091,0.051,0.012,0.131,0.138,0.007,0.023,0.042,0.037,0.157,0.078,0.171,0.038
4/30/2018,0.027,0.03,0.107,0.043,0.053,0.031,0.102,0.118,0.028,0.099,0.043,0.002,0.074,0.036,0.069,0.036,0.026,0.019,0.003,0.153,0.024,0.091,0.051,0.012,0.131,0.138,0.007,0.023,0.042,0.037,0.157,0.078,0.171,0.038
4/9/2018,0.027,0.03,0.107,0.043,0.053,0.031,0.102,0.118,0.028,0.099,0.043,0.002,0.074,0.036,0.069,0.036,0.026,0.019,0.003,0.153,0.024,0.091,0.051,0.012,0.131,0.138,0.007,0.023,0.042,0.037,0.157,0.078,0.171,0.038
5/14/2018,0.027,0.03,0.107,0.043,0.053,0.031,0.102,0.118,0.028,0.099,0.043,0.002,0.074,0.036,0.069,0.036,0.026,0.019,0.003,0.153,0.024,0.091,0.051,0.012,0.131,0.138,0.007,0.023,0.042,0.037,0.157,0.078,0.171,0.038
5/21/2018,0.027,0.03,0.107,0.043,0.053,0.031,0.102,0.118,0.028,0.099,0.043,0.002,0.074,0.036,0.069,0.036,0.026,0.019,0.003,0.153,0.024,0.091,0.051,0.012,0.131,0.138,0.007,0.023,0.042,0.037,0.157,0.078,0.171,0.038
5/28/2018,0.027,0.03,0.107,0.043,0.053,0.031,0.102,0.118,0.028,0.099,0.043,0.002,0.074,0.036,0.069,0.036,0.026,0.019,0.003,0.153,0.024,0.091,0.051,0.012,0.131,0.138,0.007,0.023,0.042,0.037,0.157,0.078,0.171,0.038
5/7/2018,0.027,0.03,0.107,0.043,0.053,0.031,0.102,0.118,0.028,0.099,0.043,0.002,0.074,0.036,0.069,0.036,0.026,0.019,0.003,0.153,0.024,0.091,0.051,0.012,0.131,0.138,0.007,0.023,0.042,0.037,0.157,0.078,0.171,0.038
6/11/2018,0.027,0.03,0.107,0.043,0.053,0.031,0.102,0.118,0.028,0.099,0.043,0.002,0.074,0.036,0.069,0.036,0.026,0.019,0.003,0.153,0.024,0.091,0.051,0.012,0.131,0.138,0.007,0.023,0.042,0.037,0.157,0.078,0.171,0.038
6/18/2018,0.027,0.03,0.107,0.043,0.053,0.031,0.102,0.118,0.028,0.099,0.043,0.002,0.074,0.036,0.069,0.036,0.026,0.019,0.003,0.153,0.024,0.091,0.051,0.012,0.131,0.138,0.007,0.023,0.042,0.037,0.157,0.078,0.171,0.038
6/25/2018,0.027,0.03,0.107,0.043,0.053,0.031,0.102,0.118,0.028,0.099,0.043,0.002,0.074,0.036,0.069,0.036,0.026,0.019,0.003,0.153,0.024,0.091,0.051,0.012,0.131,0.138,0.007,0.023,0.042,0.037,0.157,0.078,0.171,0.038
6/4/2018,0.027,0.03,0.107,0.043,0.053,0.031,0.102,0.118,0.028,0.099,0.043,0.002,0.074,0.036,0.069,0.036,0.026,0.019,0.003,0.153,0.024,0.091,0.051,0.012,0.131,0.138,0.007,0.023,0.042,0.037,0.157,0.078,0.171,0.038
7/16/2018,0.027,0.042,0.114,0.049,0.05,0.031,0.104,0.122,0.031,0.1,0.043,0.002,0.074,0.035,0.069,0.031,0.032,0.02,0.002,0.157,0.03,0.098,0.052,0.001,0.139,0.142,0.01,0.021,0.041,0.036,0.16,0.079,0.189,0.038
7/2/2018,0.027,0.042,0.114,0.049,0.05,0.031,0.104,0.122,0.031,0.1,0.043,0.002,0.074,0.035,0.069,0.031,0.032,0.02,0.002,0.157,0.03,0.098,0.052,0.001,0.139,0.142,0.01,0.021,0.041,0.036,0.16,0.079,0.189,0.038
7/23/2018,0.027,0.042,0.114,0.049,0.05,0.031,0.104,0.122,0.031,0.1,0.043,0.002,0.074,0.035,0.069,0.031,0.032,0.02,0.002,0.157,0.03,0.098,0.052,0.001,0.139,0.142,0.01,0.021,0.041,0.036,0.16,0.079,0.189,0.038
7/30/2018,0.027,0.042,0.114,0.049,0.05,0.031,0.104,0.122,0.031,0.1,0.043,0.002,0.074,0.035,0.069,0.031,0.032,0.02,0.002,0.157,0.03,0.098,0.052,0.001,0.139,0.142,0.01,0.021,0.041,0.036,0.16,0.079,0.189,0.038
7/9/2018,0.027,0.042,0.114,0.049,0.05,0.031,0.104,0.122,0.031,0.1,0.043,0.002,0.074,0.035,0.069,0.031,0.032,0.02,0.002,0.157,0.03,0.098,0.052,0.001,0.139,0.142,0.01,0.021,0.041,0.036,0.16,0.079,0.189,0.038
8/13/2018,0.027,0.042,0.114,0.049,0.05,0.031,0.104,0.122,0.031,0.1,0.043,0.002,0.074,0.035,0.069,0.031,0.032,0.02,0.002,0.157,0.03,0.098,0.052,0.001,0.139,0.142,0.01,0.021,0.041,0.036,0.16,0.079,0.189,0.038
8/20/2018,0.027,0.042,0.114,0.049,0.05,0.031,0.104,0.122,0.031,0.1,0.043,0.002,0.074,0.035,0.069,0.031,0.032,0.02,0.002,0.157,0.03,0.098,0.052,0.001,0.139,0.142,0.01,0.021,0.041,0.036,0.16,0.079,0.189,0.038
8/27/2018,0.027,0.042,0.114,0.049,0.05,0.031,0.104,0.122,0.031,0.1,0.043,0.002,0.074,0.035,0.069,0.031,0.032,0.02,0.002,0.157,0.03,0.098,0.052,0.001,0.139,0.142,0.01,0.021,0.041,0.036,0.16,0.079,0.189,0.038
8/6/2018,0.027,0.042,0.114,0.049,0.05,0.031,0.104,0.122,0.031,0.1,0.043,0.002,0.074,0.035,0.069,0.031,0.032,0.02,0.002,0.157,0.03,0.098,0.052,0.001,0.139,0.142,0.01,0.021,0.041,0.036,0.16,0.079,0.189,0.038
9/10/2018,0.027,0.042,0.114,0.049,0.05,0.031,0.104,0.122,0.031,0.1,0.043,0.002,0.074,0.035,0.069,0.031,0.032,0.02,0.002,0.157,0.03,0.098,0.052,0.001,0.139,0.142,0.01,0.021,0.041,0.036,0.16,0.079,0.189,0.038
9/17/2018,0.027,0.042,0.114,0.049,0.05,0.031,0.104,0.122,0.031,0.1,0.043,0.002,0.074,0.035,0.069,0.031,0.032,0.02,0.002,0.157,0.03,0.098,0.052,0.001,0.139,0.142,0.01,0.021,0.041,0.036,0.16,0.079,0.189,0.038
9/24/2018,0.027,0.042,0.114,0.049,0.05,0.031,0.104,0.122,0.031,0.1,0.043,0.002,0.074,0.035,0.069,0.031,0.032,0.02,0.002,0.157,0.03,0.098,0.052,0.001,0.139,0.142,0.01,0.021,0.041,0.036,0.16,0.079,0.189,0.038
9/3/2018,0.027,0.042,0.114,0.049,0.05,0.031,0.104,0.122,0.031,0.1,0.043,0.002,0.074,0.035,0.069,0.031,0.032,0.02,0.002,0.157,0.03,0.098,0.052,0.001,0.139,0.142,0.01,0.021,0.041,0.036,0.16,0.079,0.189,0.038
1/14/2019,0.017,0.053,0.107,0.052,0.058,0.028,0.105,0.109,0.022,0.095,0.045,0.002,0.067,0.04,0.073,0.028,0.034,0.019,0.003,0.152,0.03,0.082,0.051,0.035,0.13,0.125,0.016,0.022,0.04,0.034,0.151,0.081,0.111,0.038
1/21/2019,0.017,0.053,0.107,0.052,0.058,0.028,0.105,0.109,0.022,0.095,0.045,0.002,0.067,0.04,0.073,0.028,0.034,0.019,0.003,0.152,0.03,0.082,0.051,0.035,0.13,0.125,0.016,0.022,0.04,0.034,0.151,0.081,0.111,0.038
1/28/2019,0.017,0.053,0.107,0.052,0.058,0.028,0.105,0.109,0.022,0.095,0.045,0.002,0.067,0.04,0.073,0.028,0.034,0.019,0.003,0.152,0.03,0.082,0.051,0.035,0.13,0.125,0.016,0.022,0.04,0.034,0.151,0.081,0.111,0.038
1/7/2019,0.017,0.053,0.107,0.052,0.058,0.028,0.105,0.109,0.022,0.095,0.045,0.002,0.067,0.04,0.073,0.028,0.034,0.019,0.003,0.152,0.03,0.082,0.051,0.035,0.13,0.125,0.016,0.022,0.04,0.034,0.151,0.081,0.111,0.038
10/14/2019,0.02,0.052,0.106,0.044,0.06,0.03,0.102,0.113,0.028,0.085,0.042,0.006,0.069,0.032,0.077,0.03,0.042,0.019,0.007,0.125,0.024,0.094,0.049,0.065,0.101,0.136,0.015,0.018,0.04,0.03,0.145,0.072,0.08,0.052
10/21/2019,0.02,0.052,0.106,0.044,0.06,0.03,0.102,0.113,0.028,0.085,0.042,0.006,0.069,0.032,0.077,0.03,0.042,0.019,0.007,0.125,0.024,0.094,0.049,0.065,0.101,0.136,0.015,0.018,0.04,0.03,0.145,0.072,0.08,0.052
10/28/2019,0.02,0.052,0.106,0.044,0.06,0.03,0.102,0.113,0.028,0.085,0.042,0.006,0.069,0.032,0.077,0.03,0.042,0.019,0.007,0.125,0.024,0.094,0.049,0.065,0.101,0.136,0.015,0.018,0.04,0.03,0.145,0.072,0.08,0.052
10/7/2019,0.02,0.052,0.106,0.044,0.06,0.03,0.102,0.113,0.028,0.085,0.042,0.006,0.069,0.032,0.077,0.03,0.042,0.019,0.007,0.125,0.024,0.094,0.049,0.065,0.101,0.136,0.015,0.018,0.04,0.03,0.145,0.072,0.08,0.052
11/11/2019,0.02,0.052,0.106,0.044,0.06,0.03,0.102,0.113,0.028,0.085,0.042,0.006,0.069,0.032,0.077,0.03,0.042,0.019,0.007,0.125,0.024,0.094,0.049,0.065,0.101,0.136,0.015,0.018,0.04,0.03,0.145,0.072,0.08,0.052
11/18/2019,0.02,0.052,0.106,0.044,0.06,0.03,0.102,0.113,0.028,0.085,0.042,0.006,0.069,0.032,0.077,0.03,0.042,0.019,0.007,0.125,0.024,0.094,0.049,0.065,0.101,0.136,0.015,0.018,0.04,0.03,0.145,0.072,0.08,0.052
11/25/2019,0.02,0.052,0.106,0.044,0.06,0.03,0.102,0.113,0.028,0.085,0.042,0.006,0.069,0.032,0.077,0.03,0.042,0.019,0.007,0.125,0.024,0.094,0.049,0.065,0.101,0.136,0.015,0.018,0.04,0.03,0.145,0.072,0.08,0.052
11/4/2019,0.02,0.052,0.106,0.044,0.06,0.03,0.102,0.113,0.028,0.085,0.042,0.006,0.069,0.032,0.077,0.03,0.042,0.019,0.007,0.125,0.024,0.094,0.049,0.065,0.101,0.136,0.015,0.018,0.04,0.03,0.145,0.072,0.08,0.052
12/16/2019,0.02,0.052,0.106,0.044,0.06,0.03,0.102,0.113,0.028,0.085,0.042,0.006,0.069,0.032,0.077,0.03,0.042,0.019,0.007,0.125,0.024,0.094,0.049,0.065,0.101,0.136,0.015,0.018,0.04,0.03,0.145,0.072,0.08,0.052
